"統一編號","公司名稱","公司地址","資本總額","實收資本額","在境內營運資金","公司狀態","產製日期"
"00000547","高雄鳳山青年春日佐光有限公司","高雄市鳳山區青年路2段455號","7000000"," "," ","核准設立","20260401023753"
"00000624","烹派餐飲有限公司","臺北市南港區忠孝東路6段420號1樓","1500000"," "," ","核准設立","20260401023753"
"00000949","五正永續土地開發顧問有限公司","新北市三峽區安坑37之8號(1樓)","1000000"," "," ","核准設立","20260401023753"
"00002382","京昌園控股股份有限公司","臺中市南屯區惠中里文心路一段378號7樓之10","5000000","5000000"," ","核准設立","20260401023753"
"00002411","登峰夢想國際有限公司","臺中市大里區新里里爽文路645號","100000"," "," ","解散","20260401023753"
"00002616","破店大排檔有限公司","臺中市西區向上路一段247號","500000"," "," ","核准設立","20260401023753"
"00002881","鼎旺蜜醬燒烤股份有限公司","臺中市西區精誠路11號2樓","12000000","12000000"," ","核准設立","20260401023753"
"00002947","豈綺有限公司","高雄市鳳山區中山東路58巷42號8樓之1","500000"," "," ","核准設立","20260401023753"
"00003262","上日十先生有限公司","桃園市桃園區三民里三民路一段66之1號7樓之6","1000000"," "," ","核准設立","20260401023753"
"00005162","無心經營有限公司","南投縣埔里鎮北門里忠孝路286號一樓","500000"," "," ","核准設立","20260401023753"
"00005796","躍贏股份有限公司","苗栗縣竹南鎮大埔里1鄰大埔一街87號1樓","1500000","1500000"," ","解散","20260401023753"
"00006514","三合一咖啡有限公司","臺南市中西區南美里忠義路2段77號1樓","4000000"," "," ","核准設立","20260401023753"
"00006649","鼎倫餐飲事業有限公司","桃園市中壢區環西路二段369號2樓","5000000"," "," ","核准設立","20260401023753"
"00007014","多結事業有限公司","臺中市大雅區三和里義和路7之3號1樓","2000000"," "," ","核准設立","20260401023753"
"00007078","昱富有限公司","新北市新莊區化成路83巷11號","2000000"," "," ","核准設立","20260401023753"
"00007345","灃源寓樂股份有限公司","臺中市豐原區豐榮里信義街155號地下1層","3000000","3000000"," ","核准設立","20260401023753"
"00007730","百生開發股份有限公司","屏東縣屏東市長安里光復路364巷8之1號2樓","5000000","5000000"," ","核准設立","20260401023753"
"00007963","鉅栐國際有限公司","臺中市南屯區惠中里文心路一段378號26樓之6","2000000"," "," ","核准設立","20260401023753"
"00008365","金源億生活文化有限公司","臺中市龍井區田中里龍北路270號","1000000"," "," ","核准設立","20260401023753"
"00008766","明果匯實業有限公司","新北市中和區和平街68號","3000000"," "," ","核准設立","20260401023753"
"00009104","金波餐飲股份有限公司","臺北市松山區興安街218號","10000000","10000000"," ","核准設立","20260401023753"
"00009343","台南紅鼻子公園店有限公司","臺南市北區北華里公園路201號","10000"," "," ","核准設立","20260401023753"
"00009391","旅博股份有限公司","臺東縣臺東市精誠路277號","5000000","5000000"," ","核准設立","20260401023753"
"00009890","佳禾團膳餐飲有限公司","新北市新莊區後港一路113號","16888"," "," ","核准設立","20260401023753"
"00009982","元立水產有限公司","新竹縣竹北市興安里縣政二路428號1樓","5000000"," "," ","核准設立","20260401023753"
"00010236","能力資源有限公司","新北市中和區忠孝街58巷24號（1樓）","1000000"," "," ","核准設立","20260401023753"
"00010783","良食村有限公司","臺南市仁德區後壁里德崙路21巷39號1樓","200000"," "," ","核准設立","20260401023753"
"00011328","尊爵農業科技有限公司","桃園市蘆竹區錦中里南崁路一段80號地下一層","20000000"," "," ","核准設立","20260401023753"
"00011798","参日和有限公司","臺北市松山區南京東路4段17號8樓之5","550000"," "," ","解散","20260401023753"
"00011848","品島有限公司","臺中市北區新北里一中街130號","3800000"," "," ","解散","20260401023753"
"00012179","五七餐飲有限公司","高雄市楠梓區外環西路57號1樓","300000"," "," ","核准設立","20260401023753"
"00012255","佑龍食品有限公司","桃園市蘆竹區山林路三段281巷55弄10號","1500000"," "," ","核准設立","20260401023753"
