日期,品項,數量,單位,單價,小計,簽收人
9/3,衣索比亞耶加雪菲（1kg）,5,包,850,4250,阿凱
9/3,鮮乳坊鮮奶（1L）,20,瓶,75,1500,阿凱
9/3,阿里山烏龍茶葉（300g）,3,包,420,1260,阿凱
9/6,衣索比亞耶加雪菲（1kg）,5,包,850,4250,小安
9/6,鮮乳坊鮮奶（1L）,24,瓶,75,1800,小安
9/10,衣索比亞耶加雪菲（1kg）,5,包,850,4250,阿凱
9/10,鮮乳坊鮮奶（1L）,20,瓶,75,1500,阿凱
9/10,濾紙（100入）,2,盒,180,360,阿凱
9/13,衣索比亞耶加雪菲（1kg）,5,包,850,4250,小安
9/13,鮮乳坊鮮奶（1L）,20,瓶,75,1500,小安
9/17,哥倫比亞 水洗（1kg）,3,包,780,2340,阿凱
9/17,鮮乳坊鮮奶（1L）,20,瓶,75,1500,阿凱
9/17,阿里山烏龍茶葉（300g）,3,包,420,1260,阿凱
9/20,衣索比亞耶加雪菲（1kg）,5,包,850,4250,小安
9/20,鮮乳坊鮮奶（1L）,24,瓶,75,1800,小安
9/24,衣索比亞耶加雪菲（1kg）,5,包,850,4250,阿凱
9/24,鮮乳坊鮮奶（1L）,20,瓶,75,1500,阿凱
9/24,濾紙（100入）,2,盒,180,360,阿凱
9/27,衣索比亞耶加雪菲（1kg）,5,包,850,4250,小安
9/27,鮮乳坊鮮奶（1L）,20,瓶,75,1500,小安
